file,alpha,beta,run,name,score,duration_ms,memory_kb
tsp/eil76.tsp,0.200000,1.500000,2,haco,591.000000,14466,797
tsp/eil76.tsp,0.200000,1.500000,3,haco,561.000000,14454,1718
tsp/eil76.tsp,0.200000,1.500000,4,haco,572.000000,14472,1314
tsp/eil76.tsp,0.200000,1.500000,5,haco,584.000000,14400,1306
tsp/eil76.tsp,0.200000,1.500000,6,haco,576.000000,14276,775
tsp/eil76.tsp,0.200000,1.500000,7,haco,594.000000,14356,1204
tsp/eil76.tsp,0.200000,1.500000,8,haco,573.000000,14312,727
tsp/eil76.tsp,0.200000,1.500000,9,haco,574.000000,14322,1794
tsp/eil76.tsp,0.200000,1.500000,10,haco,571.000000,14337,2653
tsp/eil76.tsp,0.200000,1.500000,11,haco,590.000000,14310,691
tsp/eil76.tsp,0.200000,1.500000,12,haco,589.000000,14442,1794
tsp/eil76.tsp,0.200000,1.500000,13,haco,568.000000,14333,1755
tsp/eil76.tsp,0.200000,1.500000,14,haco,579.000000,14456,1401
tsp/eil76.tsp,0.200000,1.500000,15,haco,571.000000,14275,2522
tsp/eil76.tsp,0.200000,1.500000,16,haco,582.000000,14313,314
tsp/eil76.tsp,0.200000,1.500000,17,haco,578.000000,14338,1319
tsp/eil76.tsp,0.200000,1.500000,18,haco,580.000000,14313,993
tsp/eil76.tsp,0.200000,1.500000,19,haco,575.000000,14297,947
tsp/eil76.tsp,0.200000,1.500000,20,haco,567.000000,14312,1693
tsp/eil76.tsp,0.200000,1.500000,1,aco,1003.000000,21978,1271
tsp/eil76.tsp,0.200000,1.500000,2,aco,996.000000,22114,1844
tsp/eil76.tsp,0.200000,1.500000,3,aco,1010.000000,22137,736
tsp/eil76.tsp,0.200000,1.500000,4,aco,1016.000000,22030,863
tsp/eil76.tsp,0.200000,1.500000,5,aco,1024.000000,22011,1885
tsp/eil76.tsp,0.200000,1.500000,6,aco,962.000000,21927,1520
tsp/eil76.tsp,0.200000,1.500000,7,aco,1020.000000,22121,2325
tsp/eil76.tsp,0.200000,1.500000,8,aco,989.000000,22110,1941
tsp/eil76.tsp,0.200000,1.500000,9,aco,988.000000,22086,595
tsp/eil76.tsp,0.200000,1.500000,10,aco,1011.000000,22083,1347
tsp/eil76.tsp,0.200000,1.500000,11,aco,999.000000,21942,2033
tsp/eil76.tsp,0.200000,1.500000,12,aco,959.000000,22074,1191
tsp/eil76.tsp,0.200000,1.500000,13,aco,988.000000,21913,781
tsp/eil76.tsp,0.200000,1.500000,14,aco,982.000000,21999,1003
tsp/eil76.tsp,0.200000,1.500000,15,aco,1009.000000,22087,1037
tsp/eil76.tsp,0.200000,1.500000,16,aco,983.000000,22084,1018
tsp/eil76.tsp,0.200000,1.500000,17,aco,1008.000000,22046,2657
tsp/eil76.tsp,0.200000,1.500000,18,aco,992.000000,22119,1873
tsp/eil76.tsp,0.200000,1.500000,19,aco,967.000000,22135,2190
tsp/eil76.tsp,0.200000,1.500000,20,aco,1015.000000,22076,525
tsp/eil76.tsp,0.200000,2.000000,1,haco,583.000000,14269,1272
tsp/eil76.tsp,0.200000,2.000000,2,haco,579.000000,14324,1163
tsp/eil76.tsp,0.200000,2.000000,3,haco,584.000000,14386,2644
tsp/eil76.tsp,0.200000,2.000000,4,haco,563.000000,14296,2011
tsp/eil76.tsp,0.200000,2.000000,5,haco,571.000000,14329,2510
tsp/eil76.tsp,0.200000,2.000000,6,haco,574.000000,14404,2171
tsp/eil76.tsp,0.200000,2.000000,7,haco,575.000000,14287,2728
tsp/eil76.tsp,0.200000,2.000000,8,haco,573.000000,14360,448
